,Group,Continent,Name,Acronym,System,Climate,Animal_class,GLEAM_module,Intervention,Baseline,Scenario_lower,Scenario_lower.1,Notes
1,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
2,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
3,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
4,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
5,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
6,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
7,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
8,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
9,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
10,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
11,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
12,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
13,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
14,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
15,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
16,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
17,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
18,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
19,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
20,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Herd,Increase female to male ratio,NA,NA,NA,
21,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
22,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
23,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
