"","Group","Continent","Name","Acronym","System","Climate","Animal_class","GLEAM_module","Intervention","Baseline","Scenario_lower","Scenario_lower.1","Notes"
"1","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"2","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"3","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"4","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"5","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"6","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"7","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"8","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"9","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"10","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"11","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"12","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"13","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
