Group,Continent,Name,Acronym,System,Climate,Animal_class,GLEAM_module,Intervention,Baseline,Scenario_lower,Scenario_lower.1,Notes
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Does,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Does,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Female kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Male kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Does,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Does,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Female kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Male kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Does,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Does,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Female kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Male kids,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,piglet,Herd,Reduced weaning age,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Replacement,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Fattening,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,piglet,Herd,Reduced weaning age,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Replacement,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Fattening,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,piglet,Herd,Reduced weaning age,NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Replacement,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Fattening,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Herd,Increase female to male ratio,NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
